flow_index,time_s,src,dst,pg,size_bytes,class,event_id
188,2.004186161,0,1,3,2048,background,
189,2.004245881,47,249,3,512,background,
190,2.004331986,21,70,3,512,background,
191,2.004332710,24,291,3,2048,background,
192,2.004339461,35,84,3,4096,background,
193,2.004411835,17,199,3,8192,background,
194,2.004428247,15,222,3,8192,background,
195,2.004475157,17,95,3,512,background,
196,2.004476771,9,18,3,2048,background,
197,2.004602616,3,191,3,512,background,
198,2.004627510,41,133,3,512,background,
199,2.004649521,8,94,3,512,background,
200,2.004653990,0,117,3,1024,background,
201,2.004722762,13,250,3,512,background,
202,2.004740559,9,259,3,2048,background,
203,2.004757251,19,308,3,512,background,
204,2.004758359,8,81,3,512,background,
205,2.004797588,39,280,3,1024,background,
206,2.004816890,0,162,3,512,background,
207,2.004837888,41,194,3,4096,background,
208,2.004843406,46,249,3,2048,background,
209,2.004855826,0,277,3,512,background,
210,2.004855880,22,245,3,8192,background,
211,2.004857638,31,79,3,2048,background,
212,2.004866119,36,313,3,1024,background,
213,2.004979699,44,294,3,4096,background,
214,2.005000000,32,315,3,65536,incast,4
215,2.005000000,45,315,3,65536,incast,4
216,2.005000000,52,315,3,65536,incast,4
217,2.005000000,87,315,3,65536,incast,4
218,2.005000000,88,315,3,65536,incast,4
219,2.005000000,92,315,3,65536,incast,4
220,2.005000000,99,315,3,65536,incast,4
221,2.005000000,152,315,3,65536,incast,4
222,2.005000000,201,315,3,65536,incast,4
223,2.005000000,211,315,3,65536,incast,4
224,2.005000000,258,315,3,65536,incast,4
225,2.005000000,267,315,3,65536,incast,4
226,2.005000000,268,315,3,65536,incast,4
227,2.005000000,274,315,3,65536,incast,4
228,2.005000000,290,315,3,65536,incast,4
229,2.005000000,319,315,3,65536,incast,4
230,2.005045831,43,143,3,1024,background,
231,2.005084665,11,221,3,1024,background,
232,2.005133477,39,274,3,1024,background,
233,2.005146178,15,277,3,8192,background,
234,2.005167843,10,156,3,512,background,
235,2.005195847,27,86,3,1024,background,
236,2.005287975,10,152,3,2048,background,
237,2.005347539,46,102,3,1024,background,
238,2.005366937,29,261,3,512,background,
239,2.005418142,44,125,3,2048,background,
240,2.005430593,7,282,3,4096,background,
241,2.005551801,42,268,3,16384,background,
242,2.005554157,16,277,3,4096,background,
243,2.005617950,28,279,3,512,background,
244,2.005646845,35,297,3,8192,background,
245,2.005672130,15,129,3,2048,background,
246,2.005688133,38,229,3,1024,background,
247,2.005691088,47,261,3,4096,background,
248,2.005712646,23,188,3,512,background,
249,2.005875909,20,105,3,512,background,
250,2.005891122,45,272,3,1024,background,
251,2.005929108,9,112,3,16384,background,
252,2.005932925,13,53,3,512,background,
253,2.005935689,45,128,3,2048,background,
254,2.006000000,14,314,3,65536,incast,5
255,2.006000000,21,314,3,65536,incast,5
256,2.006000000,29,314,3,65536,incast,5
257,2.006000000,109,314,3,65536,incast,5
258,2.006000000,131,314,3,65536,incast,5
259,2.006000000,142,314,3,65536,incast,5
260,2.006000000,146,314,3,65536,incast,5
261,2.006000000,150,314,3,65536,incast,5
262,2.006000000,182,314,3,65536,incast,5
263,2.006000000,211,314,3,65536,incast,5
264,2.006000000,220,314,3,65536,incast,5
265,2.006000000,241,314,3,65536,incast,5
266,2.006000000,258,314,3,65536,incast,5
267,2.006000000,289,314,3,65536,incast,5
268,2.006000000,294,314,3,65536,incast,5
269,2.006000000,318,314,3,65536,incast,5
270,2.006040900,37,245,3,512,background,
271,2.006053334,26,151,3,512,background,
272,2.006100905,10,129,3,512,background,
273,2.006108801,11,199,3,512,background,
274,2.006171795,4,303,3,1024,background,
275,2.006173020,18,167,3,512,background,
276,2.006215403,27,62,3,2048,background,
277,2.006234427,32,210,3,4096,background,
278,2.006242455,15,106,3,2048,background,
279,2.006249059,3,55,3,2048,background,
280,2.006303523,15,5,3,4096,background,
281,2.006369213,48,265,3,1024,background,
282,2.006382336,2,256,3,8192,background,
283,2.006508826,36,140,3,512,background,
284,2.006510132,16,182,3,512,background,
285,2.006635616,24,253,3,2048,background,
286,2.006665291,1,213,3,4096,background,
287,2.006721286,13,194,3,4096,background,
288,2.006732055,20,80,3,512,background,
289,2.006740717,22,172,3,1024,background,
290,2.006770711,37,297,3,512,background,
291,2.006772656,26,286,3,512,background,
292,2.006773768,39,136,3,2048,background,
293,2.006812551,40,262,3,1024,background,
294,2.006999273,21,203,3,1024,background,
295,2.007000000,18,313,3,65536,incast,6
296,2.007000000,23,313,3,65536,incast,6
297,2.007000000,35,313,3,65536,incast,6
298,2.007000000,43,313,3,65536,incast,6
299,2.007000000,66,313,3,65536,incast,6
300,2.007000000,83,313,3,65536,incast,6
301,2.007000000,140,313,3,65536,incast,6
302,2.007000000,154,313,3,65536,incast,6
303,2.007000000,177,313,3,65536,incast,6
304,2.007000000,186,313,3,65536,incast,6
305,2.007000000,191,313,3,65536,incast,6
306,2.007000000,258,313,3,65536,incast,6
307,2.007000000,264,313,3,65536,incast,6
308,2.007000000,271,313,3,65536,incast,6
309,2.007000000,293,313,3,65536,incast,6
310,2.007000000,304,313,3,65536,incast,6
311,2.007018165,47,20,3,1024,background,
312,2.007032680,12,120,3,512,background,
313,2.007090671,26,224,3,1024,background,
314,2.007094976,12,68,3,512,background,
315,2.007100041,37,81,3,4096,background,
316,2.007124296,34,168,3,2048,background,
317,2.007137942,26,310,3,512,background,
318,2.007155268,11,166,3,2048,background,
319,2.007185425,45,57,3,512,background,
320,2.007194401,38,133,3,2048,background,
321,2.007210701,2,97,3,512,background,
322,2.007256310,6,246,3,4096,background,
323,2.007284705,21,45,3,512,background,
324,2.007296042,21,270,3,512,background,
325,2.007310724,28,69,3,512,background,
326,2.007311379,33,188,3,1024,background,
327,2.007312372,17,155,3,512,background,
328,2.007343546,10,19,3,1024,background,
329,2.007360752,3,201,3,1024,background,
330,2.007421465,32,77,3,1024,background,
331,2.007434184,9,264,3,1024,background,
332,2.007471415,42,297,3,2048,background,
333,2.007473121,17,313,3,1024,background,
334,2.007492171,44,185,3,16384,background,
335,2.007492222,27,196,3,512,background,
336,2.007511111,40,160,3,512,background,
337,2.007554075,25,195,3,8192,background,
338,2.007576632,34,312,3,2048,background,
339,2.007593603,26,88,3,512,background,
340,2.007614958,35,310,3,8192,background,
341,2.007615124,38,30,3,1024,background,
342,2.007688431,16,157,3,512,background,
343,2.007714213,10,291,3,1024,background,
344,2.007745436,4,86,3,1024,background,
345,2.007763882,41,155,3,512,background,
346,2.007870993,48,157,3,1024,background,
347,2.007874991,32,86,3,1024,background,
348,2.007890390,14,234,3,4096,background,
349,2.007893343,1,51,3,512,background,
350,2.007906879,23,104,3,512,background,
351,2.007932787,11,144,3,512,background,
352,2.007945159,32,261,3,512,background,
353,2.007985311,45,317,3,512,background,
354,2.007991369,7,130,3,512,background,
355,2.008000000,1,312,3,65536,incast,7
356,2.008000000,40,312,3,65536,incast,7
357,2.008000000,45,312,3,65536,incast,7
358,2.008000000,54,312,3,65536,incast,7
359,2.008000000,74,312,3,65536,incast,7
360,2.008000000,79,312,3,65536,incast,7
361,2.008000000,112,312,3,65536,incast,7
362,2.008000000,120,312,3,65536,incast,7
363,2.008000000,127,312,3,65536,incast,7
364,2.008000000,141,312,3,65536,incast,7
365,2.008000000,154,312,3,65536,incast,7
366,2.008000000,208,312,3,65536,incast,7
367,2.008000000,209,312,3,65536,incast,7
368,2.008000000,235,312,3,65536,incast,7
369,2.008000000,241,312,3,65536,incast,7
370,2.008000000,259,312,3,65536,incast,7
371,2.008017640,28,159,3,1024,background,
372,2.008026015,5,295,3,1024,background,
373,2.008062579,14,23,3,4096,background,
374,2.008074318,0,110,3,8192,background,
375,2.008081399,14,7,3,512,background,
376,2.008083002,48,227,3,1024,background,
377,2.008143164,45,279,3,2048,background,
378,2.008144092,19,72,3,1024,background,
379,2.008266120,14,20,3,512,background,
380,2.008271480,11,167,3,4096,background,
381,2.008290925,36,48,3,512,background,
382,2.008363689,16,143,3,512,background,
383,2.008378025,46,120,3,1024,background,
384,2.008531212,6,102,3,8192,background,
385,2.008543283,24,178,3,1024,background,
386,2.008543512,33,25,3,512,background,
387,2.008544070,35,83,3,512,background,
388,2.008548665,2,255,3,4096,background,
389,2.008555230,9,15,3,1024,background,
390,2.008630124,42,149,3,2048,background,
391,2.008656367,40,226,3,2048,background,
392,2.008692070,36,230,3,1024,background,
393,2.008702745,39,37,3,512,background,
394,2.008732497,43,194,3,4096,background,
395,2.008768566,35,225,3,1024,background,
396,2.008774333,26,139,3,512,background,
397,2.008842103,17,125,3,512,background,
398,2.008967156,42,199,3,1024,background,
399,2.008970990,36,118,3,512,background,
400,2.009000000,22,311,3,65536,incast,8
401,2.009000000,25,311,3,65536,incast,8
402,2.009000000,33,311,3,65536,incast,8
403,2.009000000,51,311,3,65536,incast,8
404,2.009000000,60,311,3,65536,incast,8
405,2.009000000,99,311,3,65536,incast,8
406,2.009000000,133,311,3,65536,incast,8
407,2.009000000,155,311,3,65536,incast,8
408,2.009000000,200,311,3,65536,incast,8
409,2.009000000,202,311,3,65536,incast,8
410,2.009000000,235,311,3,65536,incast,8
411,2.009000000,254,311,3,65536,incast,8
412,2.009000000,260,311,3,65536,incast,8
413,2.009000000,272,311,3,65536,incast,8
414,2.009000000,289,311,3,65536,incast,8
415,2.009000000,316,311,3,65536,incast,8
416,2.009036718,31,138,3,4096,background,
417,2.009065319,13,64,3,512,background,
418,2.009121923,42,176,3,512,background,
419,2.009223227,42,153,3,4096,background,
420,2.009246117,29,307,3,4096,background,
421,2.009246816,37,77,3,4096,background,
422,2.009289212,48,83,3,512,background,
423,2.009293539,37,198,3,512,background,
424,2.009294357,32,35,3,1024,background,
425,2.009336987,6,182,3,1024,background,
426,2.009339382,6,276,3,2048,background,
427,2.009344060,8,139,3,2048,background,
428,2.009354191,3,240,3,512,background,
429,2.009404651,30,172,3,4096,background,
430,2.009474889,36,280,3,1024,background,
431,2.009523169,11,69,3,512,background,
432,2.009611784,2,301,3,4096,background,
433,2.009688585,23,282,3,1024,background,
434,2.009724894,20,126,3,512,background,
435,2.009726009,28,270,3,512,background,
436,2.009825473,20,228,3,4096,background,
437,2.009834623,36,132,3,512,background,
438,2.009850813,9,164,3,2048,background,
439,2.009871016,8,164,3,1024,background,
440,2.009885056,11,49,3,4096,background,
441,2.009900238,44,189,3,1024,background,
442,2.009925825,28,230,3,1024,background,
443,2.009958072,38,89,3,512,background,
444,2.010000000,18,310,3,65536,incast,9
445,2.010000000,31,310,3,65536,incast,9
446,2.010000000,45,310,3,65536,incast,9
447,2.010000000,56,310,3,65536,incast,9
448,2.010000000,59,310,3,65536,incast,9
449,2.010000000,63,310,3,65536,incast,9
450,2.010000000,96,310,3,65536,incast,9
451,2.010000000,153,310,3,65536,incast,9
452,2.010000000,161,310,3,65536,incast,9
453,2.010000000,163,310,3,65536,incast,9
454,2.010000000,214,310,3,65536,incast,9
455,2.010000000,230,310,3,65536,incast,9
456,2.010000000,244,310,3,65536,incast,9
457,2.010000000,272,310,3,65536,incast,9
458,2.010000000,284,310,3,65536,incast,9
459,2.010000000,316,310,3,65536,incast,9
